CampsiteID,FacilityID,CampsiteName,CampsiteType,TypeOfUse,Loop,CampsiteAccessible,CampsiteLongitude,CampsiteLatitude,CreatedDate,LastUpdatedDate
11536,232168,10,STANDARD NONELECTRIC,Overnight,Eureka,FALSE,-115.679678,36.309064,5/2/2014,6/2/2020
31051,232169,9,STANDARD NONELECTRIC,Overnight,MOUN,TRUE,-115.604265,44.078334,5/2/2014,8/19/2020
22215,232170,RB1,GROUP STANDARD NONELECTRIC,Overnight,PARK,FALSE,0,0,5/2/2014,4/12/2019
24042,232171,34,STANDARD NONELECTRIC,Overnight,COVE,TRUE,-71.230856,44.003549,5/2/2014,3/23/2020
72052,232172,13,TENT ONLY NONELECTRIC,Overnight,WHIT,FALSE,-71.226603,43.939112,5/2/2014,8/19/2020
57009,232173,12,STANDARD NONELECTRIC,Overnight,BIGM,FALSE,-71.217078,44.333217,5/2/2014,3/23/2020
10919,232174,18,TENT ONLY NONELECTRIC,Overnight,BASN,FALSE,-71.021601,44.267405,5/2/2014,3/23/2020
53047,232175,XXX4,MANAGEMENT,Overnight,MANAGEMENT SITES,FALSE,-71.013404,44.264953,5/2/2014,3/23/2020
69014,232176,24,STANDARD NONELECTRIC,Overnight,HAST,TRUE,-70.984957,44.353115,5/2/2014,8/19/2020
22009,232177,17,MANAGEMENT,Overnight,MANAGEMENT SITES1,FALSE,-71.505003,44.260616,5/2/2014,3/23/2020
53001,232178,11,TENT ONLY NONELECTRIC,Overnight,SOFT,TRUE,-71.627033,43.872104,5/2/2014,3/23/2020
26006,232179,18,STANDARD NONELECTRIC,Overnight,WATE,TRUE,-71.508075,43.94681,5/2/2014,8/19/2020
54013,232180,63,STANDARD ELECTRIC,Overnight,GDEN,FALSE,-81.541718,36.688029,5/2/2014,8/19/2020
81020,232181,2,STANDARD NONELECTRIC,Overnight,AREA CARTER LAKE,FALSE,-124.146138,43.857776,5/2/2014,8/4/2020
86008,232182,20,STANDARD NONELECTRIC,Overnight,DRIF,FALSE,-124.147993,43.880015,5/2/2014,3/23/2020
78001,232183,5,STANDARD NONELECTRIC,Overnight,HORS,FALSE,-124.246376,43.442245,5/2/2014,3/23/2020
84149,232184,6,EQUESTRIAN NONELECTRIC,Overnight,WILD,FALSE,-124.267109,43.449824,5/2/2014,3/23/2020
20305,232185,12,STANDARD NONELECTRIC,Overnight,Loop 1,FALSE,-119.929509,38.730105,5/2/2014,4/12/2019
19955,232186,13,TENT ONLY NONELECTRIC,Overnight,Loop 2,FALSE,-119.892458,39.312187,5/2/2014,8/19/2020
33048,232187,15,STANDARD NONELECTRIC,Overnight,SILV,FALSE,-119.787041,38.587805,5/2/2014,8/19/2020
22654,232188,43,RV ELECTRIC,Overnight,RSV4,TRUE,-92.146764,47.329819,5/2/2014,3/23/2020
14002,232189,10,MANAGEMENT,Overnight,MANAGEMENT SITES,FALSE,-91.915959,47.380937,5/2/2014,3/23/2020
31011,232190,3,STANDARD NONELECTRIC,Overnight,ASPE,FALSE,-110.942572,34.329626,5/2/2014,8/19/2020
40097,232191,3,GROUP STANDARD NONELECTRIC,Overnight,BENNY CREEK GROUP AREA,FALSE,-109.44899,34.043905,5/2/2014,8/19/2020
54102,232192,3,WALK TO,Overnight,BROO,FALSE,-109.413838,33.874815,5/2/2014,8/19/2020
48016,232193,5,STANDARD NONELECTRIC,Overnight,LOOA,FALSE,-110.827448,34.323539,5/2/2014,8/19/2020
20006,232194,00B5,MANAGEMENT,Overnight,MANAGEMENT SITES,FALSE,-111.74023,34.996359,5/2/2014,3/23/2020
32003,232195,1,TENT ONLY NONELECTRIC,Overnight,CUTT,FALSE,-109.418082,33.874186,5/2/2014,8/19/2020
35004,232196,9,STANDARD NONELECTRIC,Overnight,GRAY,FALSE,-109.414276,33.873462,5/2/2014,3/23/2020
51002,232197,82,STANDARD NONELECTRIC,Overnight,Bear Loop,FALSE,-109.456012,34.033156,5/2/2014,3/23/2020
40004,232200,6,STANDARD NONELECTRIC,Overnight,RAIN,FALSE,-109.405945,33.877143,5/2/2014,3/23/2020
64039,232201,9,STANDARD NONELECTRIC,Overnight,REED,FALSE,-116.901154,48.621277,5/2/2014,8/19/2020
64013,232202,12,STANDARD NONELECTRIC,Overnight,REDS,FALSE,-116.287917,48.219056,5/2/2014,3/23/2020
21012,232203,1,GROUP STANDARD NONELECTRIC,Overnight,GRP,FALSE,-110.938605,34.333334,5/2/2014,2/11/2020
