City,Wiki_String,img_url
Charlotte ,"Charlotte,_North_Carolina",//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/USA_North_Carolina_relief_location_map.jpg/250px-USA_North_Carolina_relief_location_map.jpg
Raleigh ,"Raleigh,_North_Carolina",//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Raleigh_photo_collage.jpg/250px-Raleigh_photo_collage.jpg
Greensboro ,"Greensboro,_North_Carolina",//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Greensboro-collage-1.jpg/250px-Greensboro-collage-1.jpg
Durham ,"Durham,_North_Carolina",//upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Durham-montage-05-08.jpg/250px-Durham-montage-05-08.jpg
Winston-Salem ,"Winston-Salem,_North_Carolina",//upload.wikimedia.org/wikipedia/commons/thumb/0/04/Winston-Salem_skyline.jpg/300px-Winston-Salem_skyline.jpg
Asheville,"Asheville,_North_Carolina",//upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Asheville_at_dusk.jpg/260px-Asheville_at_dusk.jpg
Fargo ,"Fargo,_North_Dakota",//upload.wikimedia.org/wikipedia/commons/thumb/2/20/Fargo%2C_ND_-_Aerial_Facing_East_%2843610135662%29.jpg/250px-Fargo%2C_ND_-_Aerial_Facing_East_%2843610135662%29.jpg
Columbus ,"Columbus,_Ohio",//upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Columbus_Pano_2.jpg/270px-Columbus_Pano_2.jpg
Cleveland ,Cleveland,//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Cleveland_photomontage_2016.jpg/295px-Cleveland_photomontage_2016.jpg
Cincinnati ,Cincinnati,//upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Cincinnati_Photomontage_V1.jpg/280px-Cincinnati_Photomontage_V1.jpg
Oklahoma City ,Oklahoma_City,//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Oklahoma1885.jpg/220px-Oklahoma1885.jpg
Tulsa ,"Tulsa,_Oklahoma",//upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Tulsa_skyline_picture.jpg/250px-Tulsa_skyline_picture.jpg
Portland ,"Portland,_Oregon",//upload.wikimedia.org/wikipedia/commons/thumb/8/88/Portland_and_Mt._Hood_from_Pittock_Mansion.jpg/280px-Portland_and_Mt._Hood_from_Pittock_Mansion.jpg
Salem ,"Salem,_Oregon",//upload.wikimedia.org/wikipedia/commons/thumb/4/47/Salem_Oregon_aerial.jpg/250px-Salem_Oregon_aerial.jpg
Eugene ,"Eugene,_Oregon",//upload.wikimedia.org/wikipedia/en/thumb/7/7d/Official_Seal_Eugene%2C_OR.jpg/100px-Official_Seal_Eugene%2C_OR.jpg
Philadelphia ,Philadelphia,//upload.wikimedia.org/wikipedia/commons/thumb/7/72/Philadelphia_skyline_from_South_Street_Bridge_January_2020_%28rotate_2_degrees_perspective_correction_crop_4-1%29.jpg/270px-Philadelphia_skyline_from_South_Street_Bridge_January_2020_%28rotate_2_degrees_perspective_correction_crop_4-1%29.jpg
Pittsburgh ,Pittsburgh,//upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Montage_Pittsburgh.jpg/250px-Montage_Pittsburgh.jpg
Providence ,"Providence,_Rhode_Island",//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Providence%2C_RI_skyline_.jpg/288px-Providence%2C_RI_skyline_.jpg
Charleston ,"Charleston,_South_Carolina",//upload.wikimedia.org/wikipedia/commons/thumb/3/35/Building_wrecked_by_Hugo.jpg/250px-Building_wrecked_by_Hugo.jpg
Columbia ,"Columbia,_South_Carolina",//upload.wikimedia.org/wikipedia/en/d/da/Cityofcolumbiasc_seal.jpg
Greenville,"Greenville,_South_Carolina",//upload.wikimedia.org/wikipedia/commons/thumb/2/24/FallsPark1844.jpg/220px-FallsPark1844.jpg
Hilton Head Island,"Hilton_Head_Island,_South_Carolina",//upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Harbour_Town_July_2007.jpg/250px-Harbour_Town_July_2007.jpg
Myrtle Beach,"Myrtle_Beach,_South_Carolina",//upload.wikimedia.org/wikipedia/commons/thumb/3/37/Myrtle_Beach_ferris_wheel.jpg/250px-Myrtle_Beach_ferris_wheel.jpg
Sioux Falls ,"Sioux_Falls,_South_Dakota",//upload.wikimedia.org/wikipedia/en/thumb/e/eb/SiouxFalls.jpg/250px-SiouxFalls.jpg
Rapid City ,"Rapid_City,_South_Dakota",//upload.wikimedia.org/wikipedia/commons/thumb/8/85/RC-Downtown-Hills.jpg/250px-RC-Downtown-Hills.jpg
Nashville ,"Nashville,_Tennessee",//upload.wikimedia.org/wikipedia/commons/thumb/4/49/North_America_laea_relief_location_map.jpg/250px-North_America_laea_relief_location_map.jpg
Memphis ,"Memphis,_Tennessee",//upload.wikimedia.org/wikipedia/commons/thumb/4/49/North_America_laea_relief_location_map.jpg/250px-North_America_laea_relief_location_map.jpg
Knoxville ,"Knoxville,_Tennessee",//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Knoxville_TN_montage.jpg/250px-Knoxville_TN_montage.jpg
Chattanooga ,"Chattanooga,_Tennessee",//upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Market-street-chatt-1907.jpg/210px-Market-street-chatt-1907.jpg
Gatlinburg,"Gatlinburg,_Tennessee",//upload.wikimedia.org/wikipedia/commons/thumb/7/75/Gatlinburg-ogle-cabin1.jpg/220px-Gatlinburg-ogle-cabin1.jpg
Houston ,Houston,//upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Buildings-city-houston-skyline-1870617.jpg/278px-Buildings-city-houston-skyline-1870617.jpg
San Antonio ,San_Antonio,//upload.wikimedia.org/wikipedia/commons/thumb/d/db/SA_Skyline_2020.jpg/280px-SA_Skyline_2020.jpg
Dallas ,Dallas,//upload.wikimedia.org/wikipedia/commons/thumb/d/d3/View_from_Reunion_Tower_August_2015_13.jpg/268px-View_from_Reunion_Tower_August_2015_13.jpg
Austin ,"Austin,_Texas",//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Austin_August_2019_19_%28skyline_and_Lady_Bird_Lake%29.jpg/280px-Austin_August_2019_19_%28skyline_and_Lady_Bird_Lake%29.jpg
Fort Worth ,"Fort_Worth,_Texas",//upload.wikimedia.org/wikipedia/commons/thumb/b/b9/0011Fort_Worth_Stockyards_Exchange_Ave_E_Texas.jpg/141px-0011Fort_Worth_Stockyards_Exchange_Ave_E_Texas.jpg
El Paso ,"El_Paso,_Texas",//upload.wikimedia.org/wikipedia/commons/thumb/5/58/El_Paso_c1880.jpg/220px-El_Paso_c1880.jpg
Amarillo,"Amarillo,_Texas",//upload.wikimedia.org/wikipedia/commons/thumb/4/49/North_America_laea_relief_location_map.jpg/250px-North_America_laea_relief_location_map.jpg
Salt Lake City ,Salt_Lake_City,//upload.wikimedia.org/wikipedia/commons/thumb/4/46/Salt_Lake_City_montage_19_July_2011.jpg/290px-Salt_Lake_City_montage_19_July_2011.jpg
Provo ,"Provo,_Utah",//upload.wikimedia.org/wikipedia/commons/thumb/d/de/Downtown_Provo.jpg/250px-Downtown_Provo.jpg
Park City,"Park_City,_Utah",//upload.wikimedia.org/wikipedia/commons/thumb/1/13/PC_overview.jpg/250px-PC_overview.jpg
Burlington,"Burlington,_Vermont",//upload.wikimedia.org/wikipedia/commons/thumb/3/30/Church_Street_Marketplace_%28Burlington%2C_Vermont%29.jpg/250px-Church_Street_Marketplace_%28Burlington%2C_Vermont%29.jpg
Virginia Beach ,"Virginia_Beach,_Virginia",//upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Virginia_Beach_from_the_pier.jpg/250px-Virginia_Beach_from_the_pier.jpg
Chesapeake ,"Chesapeake,_Virginia",//upload.wikimedia.org/wikipedia/commons/thumb/9/97/Great_Dismal_Swamp_Canal.jpg/250px-Great_Dismal_Swamp_Canal.jpg
Norfolk ,"Norfolk,_Virginia",//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/MontageNorfolkVAUSA.jpg/280px-MontageNorfolkVAUSA.jpg
Richmond ,"Richmond,_Virginia",//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Collage_of_Landmarks_in_Richmond%2C_Virginia_v_1.jpg/300px-Collage_of_Landmarks_in_Richmond%2C_Virginia_v_1.jpg
Williamsburg,"Williamsburg,_Virginia",//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Backpalace_Williamsburg_Virginia_crop.jpg/300px-Backpalace_Williamsburg_Virginia_crop.jpg
Seattle ,Seattle,//upload.wikimedia.org/wikipedia/commons/thumb/a/af/Aerial_Lake_Union_June_2012.jpg/139px-Aerial_Lake_Union_June_2012.jpg
Spokane ,"Spokane,_Washington",//upload.wikimedia.org/wikipedia/commons/thumb/7/7d/SpokaneFromPalisades_20070614.jpg/285px-SpokaneFromPalisades_20070614.jpg
Tacoma ,"Tacoma,_Washington",//upload.wikimedia.org/wikipedia/commons/thumb/d/de/Tacoma_skyline_from_McKinley_Way_%282015%29.jpg/250px-Tacoma_skyline_from_McKinley_Way_%282015%29.jpg
